image,x,y,z,q0,q1,q2,q3
image_0_0_0_0_0_0_0_0,0.49933168292045593,-0.09831805527210236,0.05011802911758423,0.9214077591896057,0.388588011264801,0.0009536438155919313,-0.0024903882294893265,0.019992288202047348
image_0_0_0_1_0_0_0_0,0.49998870491981506,0.10004875063896179,0.04992558807134628,1.0,-2.8181008019600995e-05,1.404303293384146e-05,3.0204548238543794e-05,0.02000652812421322
image_0_0_0_1_0_0_0_0,0.49998870491981506,0.10004875063896179,0.04992558807134628,1.0,-2.8181008019600995e-05,1.404303293384146e-05,3.0204548238543794e-05,0.02000652812421322
image_0_0_0_1_0_0_0_0,0.49998870491981506,0.10004875063896179,0.04992558807134628,1.0,-2.8181008019600995e-05,1.404303293384146e-05,3.0204548238543794e-05,0.02000652812421322
image_0_0_0_1_0_0_0_0,0.49998870491981506,0.10004875063896179,0.04992558807134628,1.0,-2.8181008019600995e-05,1.404303293384146e-05,3.0204548238543794e-05,0.02000652812421322
image_0_0_0_1_0_0_0_0,0.49998870491981506,0.10004875063896179,0.04992558807134628,1.0,-2.8181008019600995e-05,1.404303293384146e-05,3.0204548238543794e-05,0.02000652812421322
image_0_0_0_0_0_0_0_0,0.49819955229759216,0.11866912245750427,0.043994028121232986,0.999872624874115,-0.00020984475850127637,0.01338528748601675,-0.00869354885071516,0.02010171301662922
image_0_0_0_1_0_0_0_0,0.4999915361404419,0.09997408092021942,0.05004576966166496,1.0,1.0037870197265875e-06,-6.603889687539777e-06,-9.337452866020612e-06,0.020006399601697922
image_0_0_0_0_0_0_0_0,0.4391898810863495,0.02958216890692711,-0.020025454461574554,0.20390871167182922,0.9721342325210571,-0.036134734749794006,0.10986625403165817,0.0335700698196888
image_0_0_0_0_0_0_0_0,0.4999963343143463,0.10003430396318436,0.04993350803852081,0.7071131467819214,0.7071003913879395,-5.495835921465186e-06,2.324691195099149e-05,0.020006267353892326
image_0_0_0_0_0_0_0_0,0.4999963343143463,0.10003430396318436,0.04993350803852081,0.7071131467819214,0.7071003913879395,-5.495835921465186e-06,2.324691195099149e-05,0.020006267353892326
